Estados,Año,Casos,PobTot2020,Tasa_por_100k,iso_code
Tlaxcala,2013,60459,1342977,4501.864142126038,MX-TLA
Veracruz,2013,509864,8062579,6323.832609888226,MX-VER
Yucatán,2013,204450,2320898,8809.090274540285,MX-YUC
Zacatecas,2013,53255,1622138,3283.0129125882013,MX-ZAC
Aguascalientes,2014,179898,1425607,12619.045781902025,MX-AGU
Baja California,2014,391975,3769020,10399.9182811447,MX-BCN
Baja California Sur,2014,74061,798447,9275.631319298589,MX-BCS
Campeche,2014,55157,928363,5941.318212811152,MX-CAM
Coahuila,2014,379859,3146771,12071.390005818663,MX-COA
Colima,2014,66589,731391,9104.43251284197,MX-COL
Chiapas,2014,109383,5543828,1973.0590487295062,MX-CHP
Chihuahua,2014,433229,3741869,11577.877258664053,MX-CHH
CDMX,2014,1468749,9209944,15947.425956118735,
Durango,2014,193841,1832650,10577.087823643358,MX-DUR
Guanajuato,2014,230340,6166934,3735.081322420509,MX-GUA
Guerrero,2014,128058,3540685,3616.757774272492,MX-GRO
Hidalgo,2014,124510,3082841,4038.8070614086164,MX-HID
Jalisco,2014,866436,8348151,10378.777288527723,MX-JAL
Estado de méxico,2014,1307794,16992418,7696.338449301329,
Michoacán,2014,196231,4748846,4132.18285031774,MX-MIC
Morelos,2014,129292,1971520,6557.985716604448,MX-MOR
Nayarit,2014,107023,1235456,8662.63144944053,MX-NAY
Nuevo León,2014,1011234,5784442,17481.962823726128,MX-NLE
Oaxaca,2014,103598,4132148,2507.122203754561,MX-OAX
Puebla,2014,239675,6583278,3640.6635113996404,MX-PUE
Querétaro,2014,100456,2368467,4241.393272526068,MX-QUE
Quintana Roo,2014,73046,1857985,3931.4633864105467,MX-ROO
San Luis Potosí,2014,244569,2822255,8665.730063371311,MX-SLP
Sinaloa,2014,317299,3026943,10482.490089836512,MX-SIN
Sonora,2014,293261,2944840,9958.469730104182,MX-SON
Tabasco,2014,60665,2402598,2524.975047844042,MX-TAB
Tamaulipas,2014,371851,3527735,10540.786085122607,MX-TAM
Tlaxcala,2014,61870,1342977,4606.929232592964,MX-TLA
Veracruz,2014,430178,8062579,5335.488805753097,MX-VER
Yucatán,2014,170555,2320898,7348.6641808472405,MX-YUC
Zacatecas,2014,52015,1622138,3206.570587705855,MX-ZAC
Aguascalientes,2015,234123,1425607,16422.688721365706,MX-AGU
Baja California,2015,582879,3769020,15465.001512329465,MX-BCN
Baja California Sur,2015,73752,798447,9236.931192677786,MX-BCS
Campeche,2015,67127,928363,7230.684549039545,MX-CAM
Coahuila,2015,478300,3146771,15199.707891041326,MX-COA
Colima,2015,93374,731391,12766.63234849759,MX-COL
Chiapas,2015,188511,5543828,3400.3760578430642,MX-CHP
Chihuahua,2015,440178,3741869,11763.586592689375,MX-CHH
CDMX,2015,1898146,9209944,20609.745292696676,
Durango,2015,215914,1832650,11781.518566010967,MX-DUR
Guanajuato,2015,263252,6166934,4268.7662945638795,MX-GUA
Guerrero,2015,178610,3540685,5044.504100195301,MX-GRO
Hidalgo,2015,142628,3082841,4626.511714356984,MX-HID
Jalisco,2015,1001923,8348151,12001.735474118761,MX-JAL
Estado de méxico,2015,1481971,16992418,8721.366199913396,
Michoacán,2015,307000,4748846,6464.728483509467,MX-MIC
Morelos,2015,105811,1971520,5366.975734458692,MX-MOR
Nayarit,2015,133951,1235456,10842.231532324908,MX-NAY
Nuevo León,2015,1246983,5784442,21557.53312074008,MX-NLE
Oaxaca,2015,118744,4132148,2873.6628020099956,MX-OAX
Puebla,2015,349825,6583278,5313.842131533865,MX-PUE
Querétaro,2015,176199,2368467,7439.369009574548,MX-QUE
Quintana Roo,2015,129828,1857985,6987.569867356303,MX-ROO
San Luis Potosí,2015,289503,2822255,10257.861178383951,MX-SLP
Sinaloa,2015,415299,3026943,13720.079961862513,MX-SIN
Sonora,2015,441915,2944840,15006.418005732061,MX-SON
Tabasco,2015,113499,2402598,4724.011257813417,MX-TAB
Tamaulipas,2015,510867,3527735,14481.444893111304,MX-TAM
Tlaxcala,2015,76751,1342977,5714.98990675194,MX-TLA
Veracruz,2015,698323,8062579,8661.285675464389,MX-VER
Yucatán,2015,189396,2320898,8160.462028059828,MX-YUC
Zacatecas,2015,70501,1622138,4346.177698814774,MX-ZAC
Aguascalientes,2016,228371,1425607,16019.211465712498,MX-AGU
Baja California,2016,585283,3769020,15528.784670816287,MX-BCN
Baja California Sur,2016,105938,798447,13268.006517652391,MX-BCS
Campeche,2016,108251,928363,11660.417315209676,MX-CAM
Coahuila,2016,536878,3146771,17061.235151842953,MX-COA
Colima,2016,107724,731391,14728.647194182045,MX-COL
Chiapas,2016,212872,5543828,3839.801667728508,MX-CHP
Chihuahua,2016,517195,3741869,13821.836093139551,MX-CHH
CDMX,2016,2251944,9209944,24451.223590501744,
Durango,2016,236980,1832650,12931.001555125093,MX-DUR
Guanajuato,2016,368795,6166934,5980.200209699017,MX-GUA
Guerrero,2016,189668,3540685,5356.816548210304,MX-GRO
Hidalgo,2016,153988,3082841,4995.002985882178,MX-HID
Jalisco,2016,1034163,8348151,12387.928776084667,MX-JAL
Estado de méxico,2016,1538663,16992418,9054.997352348559,
Michoacán,2016,374715,4748846,7890.653855694625,MX-MIC
Morelos,2016,169177,1971520,8581.044067521507,MX-MOR
Nayarit,2016,139909,1235456,11324.482620182345,MX-NAY
Nuevo León,2016,1392412,5784442,24071.67363766462,MX-NLE
Oaxaca,2016,135721,4132148,3284.51449464056,MX-OAX
Puebla,2016,451941,6583278,6864.984282905872,MX-PUE
Querétaro,2016,201159,2368467,8493.215231624506,MX-QUE
Quintana Roo,2016,207747,1857985,11181.306630570214,MX-ROO
San Luis Potosí,2016,343432,2822255,12168.70906420575,MX-SLP
Sinaloa,2016,452453,3026943,14947.522962936533,MX-SIN
Sonora,2016,455628,2944840,15472.079977180425,MX-SON
Tabasco,2016,190410,2402598,7925.171002389913,MX-TAB
Tamaulipas,2016,571272,3527735,16193.733372829874,MX-TAM
Tlaxcala,2016,104323,1342977,7768.04070360103,MX-TLA
Veracruz,2016,691701,8062579,8579.1531469025,MX-VER
Yucatán,2016,237037,2320898,10213.15887212622,MX-YUC
Zacatecas,2016,64474,1622138,3974.6310116648524,MX-ZAC
Aguascalientes,2017,235856,1425607,16544.250975198636,MX-AGU
Baja California,2017,657032,3769020,17432.436017850796,MX-BCN
Baja California Sur,2017,97552,798447,12217.717644377148,MX-BCS
Campeche,2017,91410,928363,9846.363976160186,MX-CAM
Coahuila,2017,559638,3146771,17784.516254916547,MX-COA
Colima,2017,113770,731391,15555.291219060666,MX-COL
Chiapas,2017,214459,5543828,3868.4280969755914,MX-CHP
Chihuahua,2017,461898,3741869,12344.045181699306,MX-CHH
CDMX,2017,2211411,9209944,24011.12319466872,
Durango,2017,232286,1832650,12674.869724169917,MX-DUR
Guanajuato,2017,307771,6166934,4990.664729020936,MX-GUA
Guerrero,2017,122614,3540685,3463.0022156729556,MX-GRO
Hidalgo,2017,129073,3082841,4186.819884645364,MX-HID
Jalisco,2017,1065592,8348151,12764.407351999263,MX-JAL
Estado de méxico,2017,1450092,16992418,8533.75899768944,
Michoacán,2017,334401,4748846,7041.731822847067,MX-MIC
Morelos,2017,135485,1971520,6872.108829735432,MX-MOR
Nayarit,2017,119736,1235456,9691.644218814754,MX-NAY
Nuevo León,2017,1512199,5784442,26142.52161228343,MX-NLE
Oaxaca,2017,131377,4132148,3179.3875727587683,MX-OAX
Puebla,2017,441609,6583278,6708.041191637358,MX-PUE
Querétaro,2017,182286,2368467,7696.370690408607,MX-QUE
Quintana Roo,2017,174234,1857985,9377.578398103322,MX-ROO
San Luis Potosí,2017,342961,2822255,12152.02028165421,MX-SLP
Sinaloa,2017,415313,3026943,13720.542474701375,MX-SIN
Sonora,2017,440156,2944840,14946.686407410927,MX-SON
Tabasco,2017,153717,2402598,6397.949219969383,MX-TAB
Tamaulipas,2017,483118,3527735,13694.84952809664,MX-TAM
Tlaxcala,2017,88608,1342977,6597.879189293636,MX-TLA
Veracruz,2017,713143,8062579,8845.097827878648,MX-VER
Yucatán,2017,193051,2320898,8317.944175056378,MX-YUC
Zacatecas,2017,71607,1622138,4414.359320846931,MX-ZAC
Aguascalientes,2018,194442,1425607,13639.242792719173,MX-AGU
Baja California,2018,581767,3769020,15435.497821714927,MX-BCN
Baja California Sur,2018,106368,798447,13321.861062788137,MX-BCS
Campeche,2018,72631,928363,7823.556087435626,MX-CAM
Coahuila,2018,578930,3146771,18397.589147732706,MX-COA
Colima,2018,110638,731391,15127.066097340547,MX-COL
Chiapas,2018,195738,5543828,3530.737245094905,MX-CHP
Chihuahua,2018,388451,3741869,10381.202548779767,MX-CHH
CDMX,2018,2263376,9209944,24575.35029528953,
Durango,2018,247689,1832650,13515.346629198155,MX-DUR
Guanajuato,2018,327972,6166934,5318.2343122206275,MX-GUA
Guerrero,2018,130607,3540685,3688.749493388991,MX-GRO
Hidalgo,2018,106400,3082841,3451.3619093556886,MX-HID
Jalisco,2018,1103796,8348151,13222.04162334869,MX-JAL
Estado de méxico,2018,1424722,16992418,8384.457114932082,
Michoacán,2018,304821,4748846,6418.843651699803,MX-MIC
Morelos,2018,153693,1971520,7795.660201266029,MX-MOR
Nayarit,2018,105228,1235456,8517.340965602983,MX-NAY
Nuevo León,2018,1500597,5784442,25941.94911108107,MX-NLE
Oaxaca,2018,126014,4132148,3049.6003531335277,MX-OAX
Puebla,2018,422246,6583278,6413.917200519255,MX-PUE
Querétaro,2018,173383,2368467,7320.473538368911,MX-QUE
Quintana Roo,2018,184179,1857985,9912.835679513022,MX-ROO
San Luis Potosí,2018,321246,2822255,11382.600083975403,MX-SLP
Sinaloa,2018,404599,3026943,13366.58800644743,MX-SIN
Sonora,2018,388156,2944840,13180.88588853724,MX-SON
Tabasco,2018,140169,2402598,5834.059630450038,MX-TAB
Tamaulipas,2018,501576,3527735,14218.074770355483,MX-TAM
Tlaxcala,2018,99386,1342977,7400.424579125331,MX-TLA
Veracruz,2018,705789,8062579,8753.88631850925,MX-VER
Yucatán,2018,217296,2320898,9362.58293126195,MX-YUC
Zacatecas,2018,74776,1622138,4609.718778550284,MX-ZAC
Aguascalientes,2019,161409,1425607,11322.124540634271,MX-AGU
Baja California,2019,496810,3769020,13181.41055234517,MX-BCN
Baja California Sur,2019,88486,798447,11082.263443910491,MX-BCS
Campeche,2019,67295,928363,7248.780918670822,MX-CAM
Coahuila,2019,558629,3146771,17752.451640109815,MX-COA
Colima,2019,97804,731391,13372.327523855229,MX-COL
Chiapas,2019,163974,5543828,2957.775746289387,MX-CHP
Chihuahua,2019,362803,3741869,9695.769680873382,MX-CHH
CDMX,2019,1988948,9209944,21595.657910623562,
Durango,2019,237703,1832650,12970.452623250483,MX-DUR
Guanajuato,2019,283830,6166934,4602.449126259499,MX-GUA
Guerrero,2019,119137,3540685,3364.8008789259707,MX-GRO
Hidalgo,2019,159631,3082841,5178.048430003364,MX-HID
Jalisco,2019,1006087,8348151,12051.614782722545,MX-JAL
Estado de méxico,2019,1384064,16992418,8145.1856939959935,
Michoacán,2019,295134,4748846,6214.85725163545,MX-MIC
Morelos,2019,149250,1971520,7570.301087485798,MX-MOR
Nayarit,2019,96658,1235456,7823.66996477414,MX-NAY
Nuevo León,2019,1447052,5784442,25016.276418710742,MX-NLE
Oaxaca,2019,125804,4132148,3044.5182505563694,MX-OAX
Puebla,2019,452568,6583278,6874.508413589704,MX-PUE
Querétaro,2019,167325,2368467,7064.696278225535,MX-QUE
Quintana Roo,2019,184177,1857985,9912.728036017514,MX-ROO
San Luis Potosí,2019,249913,2822255,8855.082194911516,MX-SLP
Sinaloa,2019,408256,3026943,13487.402967284153,MX-SIN
Sonora,2019,369206,2944840,12537.387430216922,MX-SON
Tabasco,2019,128499,2402598,5348.33542690038,MX-TAB
Tamaulipas,2019,475779,3527735,13486.812359771922,MX-TAM
Tlaxcala,2019,89614,1342977,6672.787396954675,MX-TLA
Veracruz,2019,709330,8062579,8797.805268016598,MX-VER
Yucatán,2019,197624,2320898,8514.979977577645,MX-YUC
Zacatecas,2019,67310,1622138,4149.462006315122,MX-ZAC
Aguascalientes,2020,86265,1425607,6051.106651412346,MX-AGU
Baja California,2020,240628,3769020,6384.365166541967,MX-BCN
Baja California Sur,2020,55146,798447,6906.657548966932,MX-BCS
Campeche,2020,33898,928363,3651.3734390534737,MX-CAM
Coahuila,2020,229403,3146771,7290.107859771175,MX-COA
Colima,2020,57427,731391,7851.750978614722,MX-COL
Chiapas,2020,58405,5543828,1053.5139257567155,MX-CHP
Chihuahua,2020,188236,3741869,5030.534206301717,MX-CHH
CDMX,2020,1166080,9209944,12661.09761362284,
Durango,2020,138378,1832650,7550.705262870706,MX-DUR
Guanajuato,2020,161048,6166934,2611.4759781765138,MX-GUA
Guerrero,2020,62192,3540685,1756.496271201759,MX-GRO
Hidalgo,2020,81643,3082841,2648.30395080382,MX-HID
Jalisco,2020,542413,8348151,6497.402838065579,MX-JAL
Estado de méxico,2020,841972,16992418,4954.986394520191,
Michoacán,2020,162597,4748846,3423.9265707921463,MX-MIC
Morelos,2020,112343,1971520,5698.2937023210525,MX-MOR
Nayarit,2020,63814,1235456,5165.218348528802,MX-NAY
Nuevo León,2020,1063843,5784442,18391.454180022894,MX-NLE
Oaxaca,2020,56490,4132148,1367.0855932556142,MX-OAX
Puebla,2020,334799,6583278,5085.597175145877,MX-PUE
Querétaro,2020,97605,2368467,4121.020052210987,MX-QUE
Quintana Roo,2020,93425,1857985,5028.296783881463,MX-ROO
San Luis Potosí,2020,178049,2822255,6308.749563735381,MX-SLP
Sinaloa,2020,204571,3026943,6758.336711328889,MX-SIN
Sonora,2020,175576,2944840,5962.157536572446,MX-SON
Tabasco,2020,54694,2402598,2276.4524069361582,MX-TAB
Tamaulipas,2020,233389,3527735,6615.831404569787,MX-TAM
Tlaxcala,2020,40421,1342977,3009.8058269054495,MX-TLA
Veracruz,2020,341919,8062579,4240.814260548641,MX-VER
Yucatán,2020,79098,2320898,3408.0773907341036,MX-YUC
Zacatecas,2020,33773,1622138,2082.005353428623,MX-ZAC
Aguascalientes,2021,134128,1425607,9408.483544202574,MX-AGU
Baja California,2021,403733,3769020,10711.882664459195,MX-BCN
Baja California Sur,2021,80318,798447,10059.277572587787,MX-BCS
Campeche,2021,67943,928363,7318.581201534314,MX-CAM
Coahuila,2021,394887,3146771,12548.958916934216,MX-COA
Colima,2021,69576,731391,9512.832397445416,MX-COL
Chiapas,2021,114288,5543828,2061.5358196538564,MX-CHP
Chihuahua,2021,287104,3741869,7672.743220032556,MX-CHH
CDMX,2021,1538467,9209944,16704.412100659894,
Durango,2021,218400,1832650,11917.169126674487,MX-DUR
Guanajuato,2021,275211,6166934,4462.687617542202,MX-GUA
Guerrero,2021,85201,3540685,2406.3422755766187,MX-GRO
Hidalgo,2021,124053,3082841,4023.983072756591,MX-HID
Jalisco,2021,661122,8348151,7919.382387788624,MX-JAL
Estado de méxico,2021,1060338,16992418,6240.065422119442,
Michoacán,2021,219932,4748846,4631.2725238931735,MX-MIC
Morelos,2021,166301,1971520,8435.16677487421,MX-MOR
Nayarit,2021,105031,1235456,8501.395436179031,MX-NAY
Nuevo León,2021,1362194,5784442,23549.272341221505,MX-NLE
Oaxaca,2021,87031,4132148,2106.1927113936867,MX-OAX
Puebla,2021,479501,6583278,7283.620712963967,MX-PUE
Querétaro,2021,144451,2368467,6098.923903098502,MX-QUE
Quintana Roo,2021,166148,1857985,8942.375745767591,MX-ROO
San Luis Potosí,2021,291386,2822255,10324.580875930773,MX-SLP
Sinaloa,2021,289931,3026943,9578.343563126231,MX-SIN
Sonora,2021,269507,2944840,9151.838470001767,MX-SON
Tabasco,2021,88018,2402598,3663.450980979756,MX-TAB
Tamaulipas,2021,344273,3527735,9759.03802298075,MX-TAM
Tlaxcala,2021,60871,1342977,4532.542255005112,MX-TLA
Veracruz,2021,472264,8062579,5857.480590267704,MX-VER
Yucatán,2021,142331,2320898,6132.583163930513,MX-YUC
Zacatecas,2021,54406,1622138,3353.968651249154,MX-ZAC
Aguascalientes,2022,182988,1425607,12835.79555936524,MX-AGU
Baja California,2022,580768,3769020,15408.992257934424,MX-BCN
Baja California Sur,2022,184251,798447,23076.17161815374,MX-BCS
Campeche,2022,77430,928363,8340.487503271888,MX-CAM
Coahuila,2022,506748,3146771,16103.745712668639,MX-COA
Colima,2022,92806,731391,12688.972109309521,MX-COL
Chiapas,2022,162042,5543828,2922.9261802494593,MX-CHP
Chihuahua,2022,391625,3741869,10466.026469659948,MX-CHH
CDMX,2022,621115,9209944,6743.960658175554,
Durango,2022,114338,1832650,6238.9436062532395,MX-DUR
Guanajuato,2022,173307,6166934,2810.2619551303774,MX-GUA
Guerrero,2022,903481,3540685,25517.12451121746,MX-GRO
Hidalgo,2022,914424,3082841,29661.73085151002,MX-HID
Jalisco,2022,542866,8348151,6502.8291893618125,MX-JAL
Estado de méxico,2022,488823,16992418,2876.712425506482,
Michoacán,2022,130004,4748846,2737.591406417475,MX-MIC
Morelos,2022,1352668,1971520,68610.41227073527,MX-MOR
Nayarit,2022,121232,1235456,9812.733112308331,MX-NAY
Nuevo León,2022,660258,5784442,11414.376702195303,MX-NLE
Oaxaca,2022,192210,4132148,4651.575887407711,MX-OAX
Puebla,2022,213536,6583278,3243.612072891347,MX-PUE
Querétaro,2022,321855,2368467,13589.169703441086,MX-QUE
Quintana Roo,2022,444409,1857985,23918.869097436203,MX-ROO
San Luis Potosí,2022,313397,2822255,11104.489140775726,MX-SLP
Sinaloa,2022,113379,3026943,3745.6602255146527,MX-SIN
Sonora,2022,457720,2944840,15543.119490362802,MX-SON
Tabasco,2022,87830,2402598,3655.626118060533,MX-TAB
Tamaulipas,2022,385177,3527735,10918.535547596404,MX-TAM
Tlaxcala,2022,224261,1342977,16698.796777606763,MX-TLA
Veracruz,2022,295178,8062579,3661.0866076475036,MX-VER
Yucatán,2022,564962,2320898,24342.38816182357,MX-YUC
Zacatecas,2022,1331163,1622138,82062.2536430316,MX-ZAC
Aguascalientes,2023,190098,1425607,13334.53048420778,MX-AGU
Baja California,2023,783025,3769020,20775.29437360375,MX-BCN
Baja California Sur,2023,201821,798447,25276.693381025918,MX-BCS
Campeche,2023,117849,928363,12694.2801468822,MX-CAM
Coahuila,2023,597272,3146771,18980.47236357523,MX-COA
Colima,2023,114050,731391,15593.574435561828,MX-COL
Chiapas,2023,188791,5543828,3405.426719587981,MX-CHP
Chihuahua,2023,436449,3741869,11663.930511730901,MX-CHH
CDMX,2023,1880932,9209944,20422.838618779875,
Durango,2023,277579,1832650,15146.31817313726,MX-DUR
Guanajuato,2023,535035,6166934,8675.867132678897,MX-GUA
Guerrero,2023,134875,3540685,3809.2911399912728,MX-GRO
Hidalgo,2023,157333,3082841,5103.506797788144,MX-HID
Jalisco,2023,1109538,8348151,13290.823321236045,MX-JAL
Estado de méxico,2023,2120857,16992418,12481.19602519194,
Michoacán,2023,301450,4748846,6347.8579848662175,MX-MIC
Morelos,2023,212190,1971520,10762.761726992372,MX-MOR
Nayarit,2023,172086,1235456,13928.946073352674,MX-NAY
Nuevo León,2023,1339957,5784442,23164.84459520901,MX-NLE
Oaxaca,2023,162177,4132148,3924.76261740867,MX-OAX
Puebla,2023,669005,6583278,10162.186679645003,MX-PUE
Querétaro,2023,241562,2368467,10199.08658216475,MX-QUE
Quintana Roo,2023,302574,1857985,16285.061504802245,MX-ROO
San Luis Potosí,2023,338508,2822255,11994.238649590487,MX-SLP
Sinaloa,2023,567466,3026943,18747.165044072517,MX-SIN
Sonora,2023,411889,2944840,13986.804036891648,MX-SON
Tabasco,2023,172638,2402598,7185.471726855679,MX-TAB
Tamaulipas,2023,762855,3527735,21624.498438799965,MX-TAM
Tlaxcala,2023,111594,1342977,8309.449826765462,MX-TLA
Veracruz,2023,818274,8062579,10149.035438908568,MX-VER
Yucatán,2023,270760,2320898,11666.174041254722,MX-YUC
Zacatecas,2023,101002,1622138,6226.473949811915,MX-ZAC
