Estados,Año,Casos,PobTot2020,Tasa_por_100k,iso_code
Colima,2003,38906,731391,5319.452932836198,MX-COL
Chiapas,2003,75491,5543828,1361.712520662618,MX-CHP
Chihuahua,2003,244106,3741869,6523.638320849821,MX-CHH
CDMX,2003,817083,9209944,8871.74775438374,
Durango,2003,134825,1832650,7356.833001391427,MX-DUR
Guanajuato,2003,240753,6166934,3903.933461911543,MX-GUA
Guerrero,2003,102630,3540685,2898.591656699198,MX-GRO
Hidalgo,2003,143999,3082841,4670.983680313062,MX-HID
Jalisco,2003,386968,8348151,4635.373749229021,MX-JAL
Estado de méxico,2003,721251,16992418,4244.5460086963485,
Michoacán,2003,173994,4748846,3663.921719087122,MX-MIC
Morelos,2003,91569,1971520,4644.588946599578,MX-MOR
Nayarit,2003,38870,1235456,3146.2067447161207,MX-NAY
Nuevo León,2003,522584,5784442,9034.30270370072,MX-NLE
Oaxaca,2003,59226,4132148,1433.2981296894498,MX-OAX
Puebla,2003,150251,6583278,2282.312853870063,MX-PUE
Querétaro,2003,139095,2368467,5872.786067950282,MX-QUE
Quintana Roo,2003,68408,1857985,3681.8381203292815,MX-ROO
San Luis Potosí,2003,107291,2822255,3801.6054537949262,MX-SLP
Sinaloa,2003,187831,3026943,6205.303502576692,MX-SIN
Sonora,2003,188747,2944840,6409.414433381779,MX-SON
Tabasco,2003,65241,2402598,2715.435541026838,MX-TAB
Tamaulipas,2003,260945,3527735,7396.955837102278,MX-TAM
Tlaxcala,2003,45317,1342977,3374.3690323810456,MX-TLA
Veracruz,2003,374204,8062579,4641.244445480782,MX-VER
Yucatán,2003,156252,2320898,6732.394099180576,MX-YUC
Zacatecas,2003,47165,1622138,2907.582462157967,MX-ZAC
Aguascalientes,2004,74935,1425607,5256.3574673805615,MX-AGU
Baja California,2004,158505,3769020,4205.469856885875,MX-BCN
Baja California Sur,2004,89279,798447,11181.581244591063,MX-BCS
Campeche,2004,63447,928363,6834.287880925888,MX-CAM
Coahuila,2004,363994,3146771,11567.22240035897,MX-COA
Colima,2004,44102,731391,6029.880050479155,MX-COL
Chiapas,2004,58580,5543828,1056.6705893472886,MX-CHP
Chihuahua,2004,338580,3741869,9048.419386140991,MX-CHH
CDMX,2004,775887,9209944,8424.448617711465,
Durango,2004,118771,1832650,6480.833765312525,MX-DUR
Guanajuato,2004,238961,6166934,3874.8752621643102,MX-GUA
Guerrero,2004,118622,3540685,3350.255670865948,MX-GRO
Hidalgo,2004,75648,3082841,2453.840467283262,MX-HID
Jalisco,2004,488321,8348151,5849.450974233696,MX-JAL
Estado de méxico,2004,659438,16992418,3880.7778857605786,
Michoacán,2004,170582,4748846,3592.072684605902,MX-MIC
Morelos,2004,106465,1971520,5400.148109073202,MX-MOR
Nayarit,2004,29875,1235456,2418.135490053875,MX-NAY
Nuevo León,2004,539394,5784442,9324.909818440568,MX-NLE
Oaxaca,2004,76650,4132148,1854.9674406628224,MX-OAX
Puebla,2004,290450,6583278,4411.9358167769915,MX-PUE
Querétaro,2004,158768,2368467,6703.407731667783,MX-QUE
Quintana Roo,2004,111251,1857985,5987.7232593374,MX-ROO
San Luis Potosí,2004,145502,2822255,5155.522800030472,MX-SLP
Sinaloa,2004,302588,3026943,9996.488206087792,MX-SIN
Sonora,2004,130045,2944840,4416.029393787098,MX-SON
Tabasco,2004,41517,2402598,1728.004435198897,MX-TAB
Tamaulipas,2004,229312,3527735,6500.261499233928,MX-TAM
Tlaxcala,2004,44448,1342977,3309.6620418666885,MX-TLA
Veracruz,2004,551408,8062579,6839.101979651921,MX-VER
Yucatán,2004,151960,2320898,6547.46567923278,MX-YUC
Zacatecas,2004,43589,1622138,2687.1326607230703,MX-ZAC
Aguascalientes,2005,21357,1425607,1498.0987046219611,MX-AGU
Baja California,2005,42437,3769020,1125.9425527060084,MX-BCN
Baja California Sur,2005,13408,798447,1679.2598632094553,MX-BCS
Campeche,2005,13777,928363,1484.0100262505077,MX-CAM
Coahuila,2005,92649,3146771,2944.2561915055144,MX-COA
Colima,2005,13492,731391,1844.7041322630441,MX-COL
Chiapas,2005,14784,5543828,266.67494013162025,MX-CHP
Chihuahua,2005,93994,3741869,2511.9532511694024,MX-CHH
CDMX,2005,263506,9209944,2861.1031728314524,
Durango,2005,30547,1832650,1666.8212697459962,MX-DUR
Guanajuato,2005,65203,6166934,1057.3001105573694,MX-GUA
Guerrero,2005,48952,3540685,1382.5573300081765,MX-GRO
Hidalgo,2005,22981,3082841,745.4487597641266,MX-HID
Jalisco,2005,128065,8348151,1534.0522709759323,MX-JAL
Estado de méxico,2005,189306,16992418,1114.0615773458492,
Michoacán,2005,54767,4748846,1153.269657512583,MX-MIC
Morelos,2005,28522,1971520,1446.7010225612726,MX-MOR
Nayarit,2005,14270,1235456,1155.0391110650642,MX-NAY
Nuevo León,2005,134003,5784442,2316.610660112073,MX-NLE
Oaxaca,2005,17188,4132148,415.9579956961851,MX-OAX
Puebla,2005,58889,6583278,894.5239742268213,MX-PUE
Querétaro,2005,34419,2368467,1453.2184742282666,MX-QUE
Quintana Roo,2005,15432,1857985,830.5772113337837,MX-ROO
San Luis Potosí,2005,37809,2822255,1339.6734171788162,MX-SLP
Sinaloa,2005,78712,3026943,2600.3793266011285,MX-SIN
Sonora,2005,43419,2944840,1474.409475557246,MX-SON
Tabasco,2005,12858,2402598,535.170677741345,MX-TAB
Tamaulipas,2005,47432,3527735,1344.5454377950725,MX-TAM
Tlaxcala,2005,11198,1342977,833.8191942229838,MX-TLA
Veracruz,2005,146922,8062579,1822.2705166671856,MX-VER
Yucatán,2005,42288,2320898,1822.0533603803356,MX-YUC
Zacatecas,2005,18486,1622138,1139.6071111089193,MX-ZAC
Aguascalientes,2006,29483,1425607,2068.101517458879,MX-AGU
Baja California,2006,73488,3769020,1949.7906617635356,MX-BCN
Baja California Sur,2006,21050,798447,2636.36784908704,MX-BCS
Campeche,2006,24160,928363,2602.430299354886,MX-CAM
Coahuila,2006,119856,3146771,3808.8567614230587,MX-COA
Colima,2006,21803,731391,2981.0320334814073,MX-COL
Chiapas,2006,35600,5543828,642.1555647108821,MX-CHP
Chihuahua,2006,119561,3741869,3195.2214254427404,MX-CHH
CDMX,2006,321573,9209944,3491.5847479637227,
Durango,2006,41499,1832650,2264.4258314462663,MX-DUR
Guanajuato,2006,132370,6166934,2146.4474891412815,MX-GUA
Guerrero,2006,68286,3540685,1928.6098593916151,MX-GRO
Hidalgo,2006,38248,3082841,1240.673781099966,MX-HID
Jalisco,2006,211503,8348151,2533.5310777200843,MX-JAL
