Estados,Año,Casos
Colima,2013,66771.0
Colima,2014,66589.0
Colima,2015,93374.0
Colima,2016,107724.0
Colima,2017,113770.0
Colima,2018,110638.0
Colima,2019,97804.0
Colima,2020,57427.0
Colima,2021,69576.0
Colima,2022,92806.0
Colima,2023,114050.0
Colima,2024,111229.23851499414
Colima,2025,114509.2780307516
Durango,2000,98464.0
Durango,2001,105907.0
Durango,2002,105794.0
Durango,2003,134825.0
Durango,2004,118771.0
Durango,2005,30547.0
Durango,2006,41499.0
Durango,2007,103150.0
Durango,2008,115408.0
Durango,2009,156244.0
Durango,2010,204610.0
Durango,2011,273611.0
Durango,2012,283323.0
Durango,2013,291250.0
Durango,2014,193841.0
Durango,2015,215914.0
Durango,2016,236980.0
Durango,2017,232286.0
Durango,2018,247689.0
Durango,2019,237703.0
Durango,2020,138378.0
Durango,2021,218400.0
Durango,2022,114338.0
Durango,2023,277579.0
Durango,2024,265346.99522558314
Durango,2025,272107.8753241477
Estado de méxico,2000,592700.0
Estado de méxico,2001,635334.0
Estado de méxico,2002,720450.0
Estado de méxico,2003,721251.0
Estado de méxico,2004,659438.0
Estado de méxico,2005,189306.0
Estado de méxico,2006,290096.0
Estado de méxico,2007,652073.0
Estado de méxico,2008,728185.0
Estado de méxico,2009,839515.0
Estado de méxico,2010,1075664.0
Estado de méxico,2011,1337238.0
Estado de méxico,2012,1654403.0
Estado de méxico,2013,1714152.0
Estado de méxico,2014,1307794.0
Estado de méxico,2015,1481971.0
Estado de méxico,2016,1538663.0
Estado de méxico,2017,1450092.0
Estado de méxico,2018,1424722.0
Estado de méxico,2019,1384064.0
Estado de méxico,2020,841972.0
Estado de méxico,2021,1060338.0
Estado de méxico,2022,488823.0
Estado de méxico,2023,2120857.0
Estado de méxico,2024,1612332.5816643839
Estado de méxico,2025,1654900.2163537103
Guanajuato,2000,228811.0
Guanajuato,2001,253986.0
Guanajuato,2002,218135.0
Guanajuato,2003,240753.0
Guanajuato,2004,238961.0
Guanajuato,2005,65203.0
Guanajuato,2006,132370.0
Guanajuato,2007,242532.0
Guanajuato,2008,238322.0
Guanajuato,2009,314975.0
Guanajuato,2010,331682.0
Guanajuato,2011,319572.0
Guanajuato,2012,352057.0
Guanajuato,2013,327014.0
Guanajuato,2014,230340.0
Guanajuato,2015,263252.0
Guanajuato,2016,368795.0
Guanajuato,2017,307771.0
Guanajuato,2018,327972.0
Guanajuato,2019,283830.0
Guanajuato,2020,161048.0
Guanajuato,2021,275211.0
Guanajuato,2022,173307.0
Guanajuato,2023,535035.0
Guanajuato,2024,338241.45623389445
Guanajuato,2025,343445.65115178254
Guerrero,2000,79404.0
Guerrero,2001,85526.0
Guerrero,2002,113091.0
Guerrero,2003,102630.0
Guerrero,2004,118622.0
Guerrero,2005,48952.0
Guerrero,2006,68286.0
Guerrero,2007,121102.0
Guerrero,2008,126024.0
Guerrero,2009,139157.0
Guerrero,2010,141208.0
Guerrero,2011,133297.0
Guerrero,2012,127938.0
Guerrero,2013,131882.0
Guerrero,2014,128058.0
Guerrero,2015,178610.0
Guerrero,2016,189668.0
Guerrero,2017,122614.0
Guerrero,2018,130607.0
Guerrero,2019,119137.0
Guerrero,2020,62192.0
Guerrero,2021,85201.0
Guerrero,2022,903481.0
Guerrero,2023,134875.0
Guerrero,2024,266100.5094052236
Guerrero,2025,274714.1903713871
Hidalgo,2000,57664.0
Hidalgo,2001,60291.0
Hidalgo,2002,54763.0
Hidalgo,2003,143999.0
Hidalgo,2004,75648.0
Hidalgo,2005,22981.0
Hidalgo,2006,38248.0
Hidalgo,2007,76123.0
Hidalgo,2008,81043.0
Hidalgo,2009,80566.0
Hidalgo,2010,98110.0
Hidalgo,2011,118085.0
Hidalgo,2012,132800.0
Hidalgo,2013,135337.0
Hidalgo,2014,124510.0
Hidalgo,2015,142628.0
Hidalgo,2016,153988.0
Hidalgo,2017,129073.0
Hidalgo,2018,106400.0
Hidalgo,2019,159631.0
Hidalgo,2020,81643.0
Hidalgo,2021,124053.0
Hidalgo,2022,914424.0
Hidalgo,2023,157333.0
Hidalgo,2024,284845.8477313146
Hidalgo,2025,295845.74258235074
Jalisco,2000,363714.0
Jalisco,2001,353475.0
Jalisco,2002,320156.0
Jalisco,2003,386968.0
Jalisco,2004,488321.0
Jalisco,2005,128065.0
Jalisco,2006,211503.0
Jalisco,2007,499633.0
Jalisco,2008,642554.0
Jalisco,2009,544893.0
Jalisco,2010,699100.0
Jalisco,2011,853525.0
Jalisco,2012,972370.0
Jalisco,2013,1020871.0
Jalisco,2014,866436.0
Jalisco,2015,1001923.0
Jalisco,2016,1034163.0
Jalisco,2017,1065592.0
Jalisco,2018,1103796.0
Jalisco,2019,1006087.0
Jalisco,2020,542413.0
Jalisco,2021,661122.0
Jalisco,2022,542866.0
Jalisco,2023,1109538.0
Jalisco,2024,1095459.1084056878
Jalisco,2025,1125908.7325261973
Michoacán,2000,131023.0
Michoacán,2001,130482.0
Michoacán,2002,124015.0
Michoacán,2003,173994.0
Michoacán,2004,170582.0
Michoacán,2005,54767.0
Michoacán,2006,81738.0
Michoacán,2007,182762.0
Michoacán,2008,222616.0
Michoacán,2009,203941.0
Michoacán,2010,197320.0
Michoacán,2011,196263.0
Michoacán,2012,223777.0
Michoacán,2013,211789.0
Michoacán,2014,196231.0
Michoacán,2015,307000.0
Michoacán,2016,374715.0
Michoacán,2017,334401.0
Michoacán,2018,304821.0
Michoacán,2019,295134.0
Michoacán,2020,162597.0
Michoacán,2021,219932.0
Michoacán,2022,130004.0
Michoacán,2023,301450.0
Michoacán,2024,298088.9470133332
Michoacán,2025,304945.94111248926
Morelos,2000,90151.0
Morelos,2001,76926.0
Morelos,2002,80464.0
Morelos,2003,91569.0
Morelos,2004,106465.0
Morelos,2005,28522.0
Morelos,2006,43161.0
Morelos,2007,83713.0
Morelos,2008,90289.0
Morelos,2009,120891.0
Morelos,2010,165798.0
Morelos,2011,181640.0
Morelos,2012,186949.0
Morelos,2013,176208.0
Morelos,2014,129292.0
Morelos,2015,105811.0
Morelos,2016,169177.0
Morelos,2017,135485.0
Morelos,2018,153693.0
Morelos,2019,149250.0
Morelos,2020,112343.0
Morelos,2021,166301.0
Morelos,2022,1352668.0
Morelos,2023,212190.0
Morelos,2024,385171.549437723
Morelos,2025,400707.3061514342
Nayarit,2000,44770.0
Nayarit,2001,59761.0
Nayarit,2002,37094.0
Nayarit,2003,38870.0
Nayarit,2004,29875.0
Nayarit,2005,14270.0
Nayarit,2006,32907.0
Nayarit,2007,66401.0
Nayarit,2008,62861.0
Nayarit,2009,58486.0
Nayarit,2010,77680.0
Nayarit,2011,104982.0
Nayarit,2012,106980.0
Nayarit,2013,103376.0
Nayarit,2014,107023.0
Nayarit,2015,133951.0
Nayarit,2016,139909.0
Nayarit,2017,119736.0
Nayarit,2018,105228.0
Nayarit,2019,96658.0
Nayarit,2020,63814.0
Nayarit,2021,105031.0
Nayarit,2022,121232.0
Nayarit,2023,172086.0
Nayarit,2024,145285.3011774538
Nayarit,2025,149867.25039818953
Nuevo León,2000,414512.0
Nuevo León,2001,398720.0
Nuevo León,2002,405432.0
Nuevo León,2003,522584.0
Nuevo León,2004,539394.0
Nuevo León,2005,134003.0
Nuevo León,2006,196877.0
Nuevo León,2007,296307.0
Nuevo León,2008,466138.0
Nuevo León,2009,560261.0
Nuevo León,2010,713330.0
Nuevo León,2011,865816.0
Nuevo León,2012,996724.0
Nuevo León,2013,1211010.0
Nuevo León,2014,1011234.0
Nuevo León,2015,1246983.0
Nuevo León,2016,1392412.0
Nuevo León,2017,1512199.0
Nuevo León,2018,1500597.0
Nuevo León,2019,1447052.0
Nuevo León,2020,1063843.0
Nuevo León,2021,1362194.0
Nuevo León,2022,660258.0
Nuevo León,2023,1339957.0
Nuevo León,2024,1541645.991046671
Nuevo León,2025,1593248.9961198315
Oaxaca,2000,70951.0
Oaxaca,2001,77993.0
Oaxaca,2002,73374.0
Oaxaca,2003,59226.0
Oaxaca,2004,76650.0
Oaxaca,2005,17188.0
Oaxaca,2006,27208.0
Oaxaca,2007,57414.0
Oaxaca,2008,67711.0
Oaxaca,2009,70601.0
Oaxaca,2010,94130.0
Oaxaca,2011,114745.0
Oaxaca,2012,122916.0
Oaxaca,2013,112501.0
Oaxaca,2014,103598.0
Oaxaca,2015,118744.0
Oaxaca,2016,135721.0
Oaxaca,2017,131377.0
Oaxaca,2018,126014.0
Oaxaca,2019,125804.0
Oaxaca,2020,56490.0
Oaxaca,2021,87031.0
Oaxaca,2022,192210.0
Oaxaca,2023,162177.0
Oaxaca,2024,149620.39465309947
Oaxaca,2025,153658.77378089886
Puebla,2000,194299.0
Puebla,2001,175935.0
Puebla,2002,138801.0
Puebla,2003,150251.0
Puebla,2004,290450.0
Puebla,2005,58889.0
Puebla,2006,77829.0
Puebla,2007,151475.0
Puebla,2008,222817.0
Puebla,2009,268833.0
Puebla,2010,254973.0
Puebla,2011,252665.0
Puebla,2012,292179.0
Puebla,2013,266187.0
Puebla,2014,239675.0
Puebla,2015,349825.0
Puebla,2016,451941.0
Puebla,2017,441609.0
Puebla,2018,422246.0
Puebla,2019,452568.0
Puebla,2020,334799.0
Puebla,2021,479501.0
Puebla,2022,213536.0
Puebla,2023,669005.0
Puebla,2024,496932.12498681294
Puebla,2025,512585.1088938342
Querétaro,2000,64929.0
Querétaro,2001,63005.0
Querétaro,2002,73942.0
Querétaro,2003,139095.0
Querétaro,2004,158768.0
Querétaro,2005,34419.0
Querétaro,2006,46806.0
Querétaro,2007,114698.0
Querétaro,2008,172443.0
Querétaro,2009,144821.0
Querétaro,2010,155788.0
Querétaro,2011,135300.0
Querétaro,2012,122682.0
Querétaro,2013,156711.0
Querétaro,2014,100456.0
Querétaro,2015,176199.0
Querétaro,2016,201159.0
Querétaro,2017,182286.0
Querétaro,2018,173383.0
Querétaro,2019,167325.0
Querétaro,2020,97605.0
Querétaro,2021,144451.0
Querétaro,2022,321855.0
Querétaro,2023,241562.0
Querétaro,2024,225107.88483572978
Querétaro,2025,231290.03725507666
Quintana Roo,2000,52489.0
Quintana Roo,2001,33942.0
Quintana Roo,2002,43530.0
Quintana Roo,2003,68408.0
Quintana Roo,2004,111251.0
Quintana Roo,2005,15432.0
Quintana Roo,2006,28354.0
Quintana Roo,2007,55508.0
Quintana Roo,2008,48227.0
Quintana Roo,2009,59540.0
Quintana Roo,2010,71907.0
Quintana Roo,2011,56125.0
Quintana Roo,2012,69116.0
Quintana Roo,2013,75991.0
Quintana Roo,2014,73046.0
Quintana Roo,2015,129828.0
Quintana Roo,2016,207747.0
Quintana Roo,2017,174234.0
Quintana Roo,2018,184179.0
Quintana Roo,2019,184177.0
Quintana Roo,2020,93425.0
Quintana Roo,2021,166148.0
Quintana Roo,2022,444409.0
Quintana Roo,2023,302574.0
Quintana Roo,2024,256199.68099825384
Quintana Roo,2025,266689.0881241507
San Luis Potosí,2000,60937.0
San Luis Potosí,2001,65122.0
San Luis Potosí,2002,117498.0
San Luis Potosí,2003,107291.0
San Luis Potosí,2004,145502.0
San Luis Potosí,2005,37809.0
San Luis Potosí,2006,44652.0
San Luis Potosí,2007,135611.0
San Luis Potosí,2008,168779.0
San Luis Potosí,2009,144023.0
San Luis Potosí,2010,153837.0
San Luis Potosí,2011,181273.0
San Luis Potosí,2012,190356.0
San Luis Potosí,2013,190933.0
San Luis Potosí,2014,244569.0
San Luis Potosí,2015,289503.0
San Luis Potosí,2016,343432.0
San Luis Potosí,2017,342961.0
San Luis Potosí,2018,321246.0
San Luis Potosí,2019,249913.0
San Luis Potosí,2020,178049.0
San Luis Potosí,2021,291386.0
San Luis Potosí,2022,313397.0
San Luis Potosí,2023,338508.0
San Luis Potosí,2024,358148.58084417164
San Luis Potosí,2025,370299.4647963864
Sinaloa,2000,219987.0
Sinaloa,2001,193680.0
Sinaloa,2002,171939.0
Sinaloa,2003,187831.0
Sinaloa,2004,302588.0
Sinaloa,2005,78712.0
Sinaloa,2006,107343.0
Sinaloa,2007,159611.0
Sinaloa,2008,194429.0
Sinaloa,2009,238812.0
Sinaloa,2010,303134.0
